classification,Average PnL,Win Rate (%),Volume USD
Extreme Greed,25.418772159436944,49.008905486929045,39406770.25
Fear,50.047621894017375,41.51459240612231,704158492.98
Greed,87.8948589207749,44.647138251260714,115503671.85
Neutral,22.229712656210616,31.71824674415348,21843234.35
